type,problem,answer,time
d,312,17,20340
d,313,18,21548
d,314,17,26347
d,315,18,20665
d,316,16,19487
d,317,16,20501
d,318,17,22768
d,319,18,20668
d,320,10,22081
d,321,11,20191
d,322,11,19833
d,323,17,18222
d,324,17,19476
d,325,10,18358
d,326,16,18308
d,327,17,21150
d,328,17,18073
d,329,18,17133
d,330,18,21003
d,331,16,20747
d,332,16,19626
d,333,17,19136
d,334,17,19199
d,335,18,21677
d,336,19,20422
d,337,11,22187
d,338,17,20942
d,339,17,17035
d,340,10,25720
d,341,11,25166
d,342,11,24321
d,343,17,18642
d,344,18,21047
d,345,18,20384
d,346,16,21015
d,347,17,20178
d,348,17,22233
d,349,17,22457
d,350,18,22034
d,351,18,21926
d,352,19,18452
d,353,17,19806
d,354,17,21153
d,355,10,20724
d,356,11,22347
d,357,11,21204
d,358,12,24025
d,359,12,21381
d,360,18,23036
d,361,16,18675
d,362,17,24118
d,363,17,21592
d,364,18,21740
d,365,18,21869
d,366,18,21480
d,367,19,23828
d,368,17,23825
d,369,17,20289
d,370,18,20728
d,371,18,22142
d,372,11,23347
d,373,12,21021
d,374,12,22762
d,375,18,23961
d,376,18,24264
d,377,11,23460
d,378,17,20602
d,379,18,24788
d,380,18,24643
d,381,19,24584
d,382,19,22990
d,383,17,27144
d,384,17,27982
d,385,18,24777
d,386,18,21921
d,387,19,25157
d,388,19,26869
d,389,12,22819
d,390,18,19914
d,391,18,24212
d,392,11,24053
d,393,12,24201
d,394,12,23025
d,395,18,26742
d,396,19,23696
d,397,19,21605
d,398,17,23467
d,399,18,26843
d,400,18,25410
d,401,18,22646
d,402,19,22687
d,403,19,27391
d,404,20,23879
d,405,21,24639
d,406,22,25910
d,407,23,26657
d,408,24,24529
d,409,12,26701
d,410,13,27925
d,411,21,25911
d,412,22,29920
d,413,23,26609
d,414,24,27992
d,415,18,26815
d,416,19,26975
d,417,19,26453
d,418,22,27310
d,419,23,25678
d,420,24,25111
d,421,21,22450
d,422,22,27600
d,423,23,27225
d,424,24,23279
d,425,23,29435
d,426,24,25986
d,427,21,25777
d,428,22,25053
d,429,23,29108
d,430,24,25672
d,431,25,25397
d,432,24,26239
d,433,25,28122
d,434,22,28268
d,435,23,26515
d,436,24,26023
d,437,25,26461
d,438,22,23095
d,439,23,26987
d,440,24,26153
d,441,21,26893
d,442,22,25217
d,443,23,28643
d,444,22,25800
d,445,23,24999
d,446,24,23991
d,447,25,26976
d,448,22,25488
d,449,23,26845
d,450,22,29815
d,451,23,28702
d,452,24,26240
d,453,25,28090
d,454,26,27917
d,455,27,28048
d,456,21,24489
d,457,22,29875
d,458,22,28385
d,459,23,26438
d,460,24,29577
d,461,27,30655
d,462,28,24749
d,463,22,27313
d,464,22,29985
d,465,23,25554
d,466,24,27329
d,467,23,28049
d,468,28,30140
d,469,29,26442
d,470,23,29945
d,471,27,28750
d,472,28,26139
d,473,22,31433
d,474,23,29637
d,475,29,26365
d,476,30,27162
d,477,27,28937
d,478,28,30213
d,479,22,27196
d,480,23,30405
d,481,23,27930
d,482,24,28300
d,483,25,30350
d,484,28,30639
d,485,29,29584
d,486,23,31292
d,487,23,31827
