type,problem,answer,time
d,155,5,5470
m,155,5,10670
d,156,3,10280
m,156,3,14740
d,157,4,9050
m,157,4,22860
d,158,4,8970
m,158,4,19240
d,159,5,8260
m,159,5,13510
d,160,5,6050
m,160,5,10280
d,161,5,5740
m,161,5,10170
d,162,6,5780
m,162,6,10440
d,163,4,8410
m,163,4,18750
d,164,4,12030
m,164,4,14660
d,165,5,7730
m,165,5,12650
d,166,5,5940
m,166,5,14290
d,167,5,8950
m,167,5,22760
d,168,6,9440
m,168,6,17380
d,169,6,11250
m,169,6,22890
d,170,5,11390
m,170,5,17220
d,171,5,20520
m,171,5,21190
d,172,5,8600
m,172,5,13350
d,173,4,6190
m,173,4,11060
d,174,5,6790
m,174,5,11100
d,175,5,6350
m,175,5,11200
d,176,6,6400
m,176,6,11400
d,177,6,6480
m,177,6,12580
d,178,4,7300
m,178,4,11430
d,179,4,11300
m,179,4,30170
d,180,5,10550
m,180,5,23800
d,181,5,11250
m,181,5,17380
d,182,6,9440
m,182,6,18350
d,183,6,8690
m,183,6,37460
d,184,6,13540
m,184,6,20540
d,185,5,7340
m,185,5,26370
d,186,5,13160
m,186,5,22680
d,187,5,12200
m,187,5,24210
d,188,6,15650
m,188,6,31630
d,189,6,13860
m,189,6,24450
d,190,5,14720
m,190,5,23880
d,191,6,15090
m,191,6,35640
d,192,6,14990
m,192,6,23350
d,193,4,8400
m,193,4,46950
d,194,5,10320
m,194,5,18380
d,195,5,8510
m,195,5,15650
d,196,5,37790
m,196,5,20480
d,197,6,12970
m,197,6,22040
d,198,6,11120
m,198,6,26240
d,199,7,11340
m,199,7,25600
d,200,5,9680
m,200,5,20130
d,201,5,9750
m,201,5,19460
d,202,5,9920
m,202,5,14350
d,203,6,7450
m,203,6,17130
d,204,6,9460
m,204,6,29180
d,205,7,10370
m,205,7,24430
d,206,7,9730
m,206,7,16160
d,207,6,9310
m,207,6,23350
d,208,4,10090
m,208,4,32950
d,209,5,12280
m,209,5,23090
d,210,5,11530
m,210,5,20640
d,211,6,12230
m,211,6,18170
d,212,6,10400
m,212,6,19180
d,213,6,12940
m,213,6,43130
d,214,7,9560
m,214,7,16920
d,215,5,9450
m,215,5,17310
d,216,5,9550
m,216,5,17850
d,217,6,10080
m,217,6,17090
d,218,6,9590
m,218,6,17340
d,219,6,9730
m,219,6,17400
d,220,7,9720
m,220,7,17660
d,221,7,9870
m,221,7,17910
d,222,6,9880
m,222,6,17490
d,223,6,10090
m,223,6,19900
d,224,6,12980
m,224,6,21770
d,225,5,10690
m,225,5,19720
d,226,6,12270
m,226,6,30650
d,227,6,11700
m,227,6,21860
d,228,7,10710
m,228,7,33470
d,229,7,13310
m,229,7,22050
d,230,5,12130
m,230,5,31070
d,231,5,10890
m,231,5,20300
d,232,6,12480
m,232,6,34010
d,233,6,13840
m,233,6,25180
d,234,7,13760
m,234,7,26300
d,235,7,11970
m,235,7,29190
d,236,7,14880
