type,problem,answer,time,,type,problem,answer,time,,,,,,,,,,type,problem,answer,time,,type,problem,answer,time
d,76,3,1,,d,76,3,1,,,,,,,,,,m,76,3,2,,,,,
d,77,3,1,,d,77,3,1,,,,,,,,,,m,77,3,2,,,,,
d,78,4,1,,d,78,4,1,,,,,,,,,,m,78,4,2,,,,,
d,79,5,1,,d,79,5,1,,,,,,,,,,m,79,5,3,,,,,
d,80,4,1,,d,80,4,1,,,,,,,,,,m,80,4,2,,,,,
d,81,3,1,,d,81,3,1,,,,,,,,,,m,81,3,2,,,,,
d,82,3,1,,d,82,3,1,,,,,,,,,,m,82,3,3,,,,,
d,83,3,1,,d,83,3,1,,,,,,,,,,m,83,3,3,,,,,
d,84,4,2,,d,84,4,2,,,,,,,,,,m,84,4,2,,,,,
d,85,5,1,,d,85,5,1,,,,,,,,,,m,85,5,3,,,,,
d,86,3,2,,d,86,3,2,,,,,,,,,,m,86,3,3,,,,,
d,87,4,1,,d,87,4,1,,,,,,,,,,m,87,4,3,,,,,
d,88,4,2,,d,88,4,2,,,,,,,,,,m,88,4,3,,,,,
d,89,2,2,,d,89,2,2,,,,,,,,,,m,89,2,3,,,,,
d,90,3,2,,d,90,3,2,,,,,,,,,,m,90,3,3,,,,,
d,91,3,2,,d,91,3,2,,,,,,,,,,m,91,3,3,,,,,
d,92,3,2,,d,92,3,2,,,,,,,,,,m,92,3,3,,,,,
d,93,4,2,,d,93,4,2,,,,,,,,,,m,93,4,3,,,,,
d,94,4,2,,d,94,4,2,,,,,,,,,,m,94,4,3,,,,,
d,95,5,2,,d,95,5,2,,,,,,,,,,m,95,5,3,,,,,
d,96,3,2,,d,96,3,2,,,,,,,,,,m,96,3,3,,,,,
d,97,3,2,,d,97,3,2,,,,,,,,,,m,97,3,3,,,,,
d,98,3,2,,d,98,3,2,,,,,,,,,,m,98,3,3,,,,,
d,99,4,2,,d,99,4,2,,,,,,,,,,m,99,4,3,,,,,
d,100,4,2,,d,100,4,2,,,,,,,,,,m,100,4,4,,,,,
d,101,5,2,,d,101,5,2,,,,,,,,,,m,101,5,4,,,,,
d,102,6,2,,d,102,6,2,,,,,,,,,,m,102,6,4,,,,,
d,103,4,2,,d,103,4,2,,,,,,,,,,m,103,4,4,,,,,
